threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.67,96.14,45.66,2.42,85.12396694214875,57.74,17.1,87.13450292397661,88.9,76.8,96.5625,2.42,85.12396694214875,15.04,86.83510638297872,60.64,96.2401055408971,21.9,93.1
0.68,96.14,45.66,2.22,85.58558558558559,57.74,16.04,88.2793017456359,88.9,75.82,96.94012134001582,2.22,85.58558558558559,14.18,87.72919605077574,60.62,96.66776641372485,22.98,93.56
0.69,96.14,45.66,2.02,87.12871287128714,57.74,15.06,88.04780876494024,88.9,75.2,97.20744680851064,2.02,87.12871287128714,13.38,87.29446935724962,60.9,97.01149425287356,23.7,93.74
0.7,96.14,45.66,1.8,85.55555555555556,57.74,14.18,88.57545839210155,88.9,74.26,97.38755723134932,1.8,85.55555555555556,12.72,88.0503144654088,60.8,97.23684210526316,24.68,94.0
0.71,96.14,45.66,1.54,88.31168831168831,57.74,13.22,88.95612708018155,88.9,73.52,97.44287268770402,1.54,88.31168831168831,11.92,88.59060402684564,61.02,97.31235660439201,25.52,94.22
0.72,96.14,45.66,1.3,87.6923076923077,57.74,12.36,88.83495145631068,88.9,72.62,97.6039658496282,1.3,87.6923076923077,11.3,88.49557522123894,60.96,97.4737532808399,26.44,94.32
0.73,96.14,45.66,1.02,86.27450980392157,57.74,11.54,89.60138648180242,88.9,71.82,97.80005569479253,1.02,86.27450980392157,10.72,89.55223880597015,60.96,97.67060367454069,27.3,94.56
0.74,96.14,45.66,0.92,84.78260869565217,57.74,10.66,90.61913696060037,88.9,70.9,97.85613540197461,0.92,84.78260869565217,9.98,90.78156312625251,60.84,97.69888231426692,28.26,94.68
0.75,96.14,45.66,0.84,85.71428571428571,57.74,9.76,92.00819672131148,88.9,69.84,97.99541809851088,0.84,85.71428571428571,9.16,92.13973799126637,60.62,97.88848564830089,29.38,94.98
0.76,96.14,45.66,0.7,82.85714285714286,57.74,9.18,92.15686274509804,88.9,68.84,98.11156304474143,0.7,82.85714285714286,8.72,92.43119266055047,60.24,98.00796812749005,30.34,95.04
0.77,96.14,45.66,0.64,81.25,57.74,8.42,92.63657957244655,88.9,67.74,98.25804546796576,0.64,81.25,8.04,93.03482587064677,59.84,98.1951871657754,31.48,95.2
