algorithm,step,current_obj,best_obj,evaluations,elapsed_s,final_obj
GA,52,1.0702865824332513,1.0702865824332513,2650,3.743563099997118,
GA,53,1.0702865824332513,1.0702865824332513,2700,3.827378199901432,
GA,54,1.0702865824332513,1.0702865824332513,2750,3.915173700079322,
GA,55,1.0702865824332513,1.0702865824332513,2800,3.982192999916151,
GA,56,1.0702865824332513,1.0702865824332513,2850,4.032960099866614,
GA,57,1.0715880706661038,1.0715880706661038,2900,4.074223999865353,
GA,58,1.0715880706661038,1.0715880706661038,2950,4.117439599940553,
GA,59,1.0715880706661038,1.0715880706661038,3000,4.165729800006375,
GA,60,1.0715880706661038,1.0715880706661038,3050,4.2101125998888165,
GA,61,1.0715880706661038,1.0715880706661038,3100,4.257843300001696,
GA,62,1.0715880706661038,1.0715880706661038,3150,4.322390099987388,
GA,63,1.0715880706661038,1.0715880706661038,3200,4.378258399898186,
GA,64,1.0715880706661038,1.0715880706661038,3250,4.417907000053674,
GA,65,1.0715880706661038,1.0715880706661038,3300,4.463079799897969,
GA,66,1.0715880706661038,1.0715880706661038,3350,4.536578099941835,
GA,67,1.0715880706661038,1.0715880706661038,3400,4.5969654999207705,
GA,68,1.0715880706661038,1.0715880706661038,3450,4.642907799920067,
GA,69,1.0715880706661038,1.0715880706661038,3500,4.709052599966526,
GA,70,1.0715880706661038,1.0715880706661038,3550,4.778087300015613,
GA,71,1.0715880706661038,1.0715880706661038,3600,4.828203399898484,
GA,72,1.0715880706661038,1.0715880706661038,3650,4.87210000003688,
GA,73,1.0715880706661038,1.0715880706661038,3700,4.947139099938795,
GA,74,1.0715880706661038,1.0715880706661038,3750,4.988331799861044,
GA,75,1.0715880706661038,1.0715880706661038,3800,5.05108439992182,
GA,76,1.0715880706661038,1.0715880706661038,3850,5.087894799886271,
GA,77,1.0715880706661038,1.0715880706661038,3900,5.144878400024027,
GA,78,1.0715880706661038,1.0715880706661038,3950,5.202401099959388,
GA,79,1.0716438023264514,1.0716438023264514,4000,5.296322099864483,
GA,80,1.0716438023264514,1.0716438023264514,4050,5.3672795000020415,
GA,81,1.0716438023264514,1.0716438023264514,4100,5.453491899883375,
GA,82,1.0716438023264514,1.0716438023264514,4150,5.5512256000656635,
GA,83,1.0716438023264514,1.0716438023264514,4200,5.6293410998769104,
