threshold,final_accuracy,after_layer3_block5_rate,after_layer3_block5_accuracy,after_layer3_block10_rate,after_layer3_block10_accuracy,after_layer3_block15_rate,after_layer3_block15_accuracy,after_layer3_block20_rate,after_layer3_block20_accuracy,after_layer4_rate,after_layer4_accuracy,after_layer3_block5_sequential_rate,after_layer3_block5_sequential_accuracy,after_layer3_block10_sequential_rate,after_layer3_block10_sequential_accuracy,after_layer3_block15_sequential_rate,after_layer3_block15_sequential_accuracy,after_layer3_block20_sequential_rate,after_layer3_block20_sequential_accuracy,after_layer4_sequential_rate,after_layer4_sequential_accuracy,final_rate,overall_accuracy
0.32,74.04,80.98,55.89034329464065,86.68,61.30595293031841,89.64,63.98929049531459,91.92,67.36292428198433,94.04,79.39174819225862,80.98,55.89034329464065,12.98,40.67796610169491,3.68,32.608695652173914,1.36,32.35294117647059,0.86,62.7906976744186,0.14,52.72
0.33,74.04,79.58,56.49660718773561,85.72,61.73588427438171,88.76,64.42091031996395,91.02,67.87519226543617,93.7,79.57310565635005,79.58,56.49660718773561,13.72,40.37900874635569,3.96,33.83838383838384,1.44,37.5,1.12,58.92857142857143,0.18,53.04
0.34,74.04,78.02,57.113560625480645,84.74,62.26103375029502,87.92,64.85441310282074,90.3,68.21705426356588,93.26,79.79841303881621,78.02,57.113560625480645,14.54,41.54057771664374,4.42,33.0316742081448,1.52,38.1578947368421,1.18,59.32203389830509,0.32,53.34
0.35,74.04,76.6,57.67624020887728,83.72,62.804586717630194,86.56,65.61922365988909,89.52,68.49865951742628,92.82,80.02585649644473,76.6,57.67624020887728,15.3,42.745098039215684,4.64,34.48275862068966,1.74,37.93103448275862,1.28,56.25,0.44,53.74
0.36,74.04,75.36,58.14755838641189,82.6,63.26876513317191,85.72,66.02893140457303,88.86,68.80486158001351,92.44,80.18173950670705,75.36,58.14755838641189,15.76,43.14720812182741,5.04,34.12698412698413,1.88,39.361702127659576,1.4,55.714285714285715,0.56,53.9
0.37,74.04,74.16,58.7108953613808,81.34,63.83083353823457,84.96,66.40772128060263,87.92,69.29026387625113,91.96,80.49151805132666,74.16,58.7108953613808,15.94,43.66373902132999,5.52,35.14492753623188,2.2,36.36363636363637,1.46,58.9041095890411,0.72,54.2
0.38,74.04,72.66,59.34489402697495,80.28,64.3248629795715,84.02,66.81742442275649,87.16,69.75676916016522,91.44,80.70866141732283,72.66,59.34489402697495,16.4,44.8780487804878,6.16,35.714285714285715,2.42,38.01652892561984,1.56,60.256410256410255,0.8,54.64
0.39,74.04,71.58,59.849119865884326,79.12,64.91405460060668,83.08,67.21232546942706,86.48,70.05087881591119,90.96,80.93667546174143,71.58,59.849119865884326,16.5,45.93939393939394,6.68,35.62874251497006,2.62,37.404580152671755,1.72,59.30232558139535,0.9,54.92
0.4,74.04,70.12,60.5248146035368,78.06,65.46246477068921,82.16,67.64849074975658,85.82,70.37986483337217,90.52,81.17543084401237,70.12,60.5248146035368,16.98,46.4075382803298,7.12,36.235955056179776,2.74,37.22627737226277,1.94,62.88659793814433,1.1,55.38
0.41,74.04,68.94,61.125616478096894,76.8,66.22395833333333,81.06,68.14705156674069,85.02,70.83039284874147,89.86,81.46004896505676,68.94,61.125616478096894,17.14,48.07467911318553,7.32,38.25136612021858,3.06,37.254901960784316,2.1,62.857142857142854,1.44,56.02
