threshold,exit1_accuracy,exit2_accuracy,accuracy
0.31313131313131315,65.89264678955078,85.4306640625,66.68000221252441
0.32323232323232326,66.2762680053711,85.4691390991211,67.1500027179718
0.33333333333333337,66.69632720947266,85.51481628417969,67.61999726295471
0.3434343434343435,67.21663665771484,85.55767822265625,68.2099997997284
0.3535353535353536,67.70221710205078,85.61933898925781,68.80999803543091
0.36363636363636365,68.26102447509766,85.69556427001953,69.30000185966492
0.37373737373737376,68.91216278076172,85.79218292236328,69.91000175476074
0.38383838383838387,69.39936828613281,85.90950775146484,70.53999900817871
0.393939393939394,69.84850311279297,86.02739715576172,71.05000019073486
0.4040404040404041,70.6163558959961,86.16057586669922,71.82999849319458
0.4141414141414142,71.14964294433594,86.27970886230469,72.3800003528595
0.42424242424242425,71.85565948486328,86.39107513427734,73.12999963760376
0.43434343434343436,72.43330383300781,86.49092102050781,73.7500011920929
0.4444444444444445,72.99128723144531,86.63717651367188,74.29999709129333
0.4545454545454546,73.6849594116211,86.7780532836914,75.05999803543091
0.4646464646464647,74.45849609375,86.95922088623047,75.73999762535095
0.4747474747474748,75.15713500976562,87.20216369628906,76.45999789237976
0.48484848484848486,75.86366271972656,87.48954010009766,77.10999846458435
0.494949494949495,76.80560302734375,87.72464752197266,77.91000008583069
0.5050505050505051,77.37452697753906,88.10581970214844,78.50000262260437
0.5151515151515152,77.92906188964844,88.34166717529297,79.04000282287598
0.5252525252525253,78.75845336914062,88.53475952148438,79.65999841690063
0.5353535353535354,79.33309936523438,88.76090240478516,80.15999794006348
0.5454545454545455,80.14353942871094,88.92497253417969,80.61000108718872
0.5555555555555556,80.7349853515625,89.17329406738281,81.05000257492065
0.5656565656565657,81.2634048461914,89.43330383300781,81.49999976158142
0.5757575757575758,81.80360412597656,89.66390991210938,81.88999891281128
0.5858585858585859,82.60330200195312,89.93452453613281,82.3199987411499
0.595959595959596,83.17378997802734,90.22103118896484,82.70000219345093
0.6060606060606061,83.78260040283203,90.43927764892578,83.00999999046326
0.6161616161616162,84.30838775634766,90.66455841064453,83.3400011062622
0.6262626262626263,84.7739486694336,90.87910461425781,83.55000019073486
0.6363636363636365,85.16098022460938,91.07244873046875,83.84000062942505
0.6464646464646465,85.6893081665039,91.31086730957031,84.0499997138977
0.6565656565656566,86.2648696899414,91.51458740234375,84.34000015258789
0.6666666666666667,86.64530181884766,91.71154022216797,84.47999954223633
0.6767676767676768,87.01048278808594,91.93453216552734,84.65999960899353
0.686868686868687,87.41399383544922,92.15174865722656,84.86999869346619
0.696969696969697,87.92385864257812,92.28384399414062,85.0600004196167
0.7070707070707072,88.40669250488281,92.47299194335938,85.26999950408936
0.7171717171717172,88.77056884765625,92.68617248535156,85.44999957084656
0.7272727272727273,89.16554260253906,92.88932037353516,85.64000129699707
0.7373737373737375,89.57012176513672,93.0344009399414,85.72999835014343
0.7474747474747475,90.16332244873047,93.27720642089844,85.93999743461609
0.7575757575757577,90.50410461425781,93.58717346191406,86.11999750137329
0.7676767676767677,90.8226547241211,93.7776107788086,86.2600028514862
0.7777777777777778,91.51066589355469,94.02547454833984,86.44999861717224
0.787878787878788,91.83393859863281,94.25818634033203,86.51999831199646
0.797979797979798,92.50360107421875,94.42784881591797,86.6100013256073
0.8080808080808082,92.91178131103516,94.63817596435547,86.73999905586243
0.8181818181818182,92.85713958740234,94.8993148803711,86.72999739646912
0.8282828282828284,93.27925872802734,95.00535583496094,86.72999739646912
0.8383838383838385,93.7616958618164,95.19230651855469,86.79999709129333
0.8484848484848485,94.30508422851562,95.43397521972656,86.90000176429749
0.8585858585858587,95.1363296508789,95.625,86.97999715805054
0.8686868686868687,95.11811065673828,95.89484405517578,86.98999881744385
0.8787878787878789,95.62982177734375,96.0507583618164,87.01000213623047
0.888888888888889,95.63980865478516,96.36073303222656,87.01000213623047
0.8989898989898991,96.0257797241211,96.60867309570312,87.01000213623047
0.9090909090909092,96.03960418701172,96.77759552001953,86.94000244140625
0.9191919191919192,96.62261199951172,97.05564880371094,87.00000047683716
0.9292929292929294,96.3702392578125,97.40670776367188,86.93000078201294
0.9393939393939394,96.55963134765625,97.62447357177734,86.93000078201294
0.9494949494949496,96.8944091796875,97.84982299804688,86.9700014591217
0.9595959595959597,97.36842346191406,98.19298553466797,86.91999912261963
0.9696969696969697,96.52777862548828,98.51356506347656,86.8399977684021
0.9797979797979799,95.9459457397461,98.75,86.73999905586243
0.98989898989899,92.30769348144531,99.25667572021484,86.64000034332275
1.0,0.0,100.0,86.51000261306763
