threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.1,97.33312292883068,30.795329020041027,62.29288306769765,40.89930335655478,53.55057598232602,94.80826889695439,55.70905459387483,85.34795644626794,99.92898848035348,85.40860639557836,62.29288306769765,40.89930335655478,33.41486507811267,43.896103896103895,4.284361685340066,72.74401473296501,0.007890168849613381,43.269685971279785
0.11,97.33312292883068,30.795329020041027,56.517279469780654,43.1523104844339,53.55057598232602,92.4569985797696,56.66495989076634,85.34795644626794,99.82641628530851,85.48846032247866,56.517279469780654,43.1523104844339,37.0285624112356,45.53590453867462,6.398926937036452,72.62638717632552,0.05523118194729367,45.93656304244911
0.12,97.33312292883068,30.795329020041027,51.522802587975384,44.946401225114855,53.55057598232602,89.73489032665299,57.72443506550602,85.34795644626794,99.65283257061701,85.61361836896279,51.522802587975384,44.946401225114855,39.35616222187155,47.714514835605456,9.018462995108095,73.665791776028,0.10257219504497396,48.65078112671611
0.13,97.33312292883068,30.795329020041027,47.16742938298879,46.90531950485112,53.55057598232602,87.15480511282941,58.772406300923414,85.34795644626794,99.51869970017358,85.69729644018076,47.16742938298879,46.90531950485112,41.20246173268108,49.50210647261586,11.45652516963863,74.86225895316804,0.1735837146914944,51.230866340539684
0.14,97.33312292883068,30.795329020041027,42.96985955499448,49.136981270657365,53.55057598232602,84.27489348272053,60.01310738694879,85.34795644626794,99.36089632318132,85.80957674898754,42.96985955499448,49.136981270657365,42.646362632160326,51.23034227567067,14.076061227710273,75.50448430493273,0.3077165851349219,53.8346220609121
0.15,97.33312292883068,30.795329020041027,39.22202935142812,51.257292295312816,53.55057598232602,81.57645573615275,61.15678498887707,85.34795644626794,99.12419125769291,85.95080792804266,39.22202935142812,51.257292295312816,43.632633738362,53.12839059674503,16.608805428436167,76.48456057007125,0.5365314817737099,56.446267950134136
0.16,97.33312292883068,30.795329020041027,36.136973331229285,53.38427947598253,53.55057598232602,78.70443427489349,62.45614035087719,85.34795644626794,98.79280416600915,86.1752256209568,36.136973331229285,53.38427947598253,43.86144863500079,54.95592732505846,19.283572668455104,77.45499181669395,0.7180053653148177,58.94745147546158
0.17,97.33312292883068,30.795329020041027,33.71469149439798,54.99648958577112,53.55057598232602,75.98232602177687,63.77985462097612,85.34795644626794,98.55609910052075,86.36618365222961,33.71469149439798,54.99648958577112,43.577402556414704,56.81694731124389,21.729525011835253,78.68554829339143,0.9783809373520593,61.21982010415023
0.18,97.33312292883068,30.795329020041027,31.189837462521698,56.61522894004553,53.55057598232602,73.42591131450213,65.00107457554266,85.34795644626794,98.18526116458892,86.59594985535198,31.189837462521698,56.61522894004553,43.506391036768186,58.65070729053319,24.07290516017043,79.2527040314651,1.2308663405396876,63.29493451159855
0.19,97.33312292883068,30.795329020041027,28.972700015780337,58.19716775599129,53.55057598232602,70.94839829572354,66.2144128113879,85.34795644626794,97.90910525485245,86.77572729470546,28.972700015780337,58.19716775599129,43.21445478933249,60.36151177651999,26.36894429540792,79.92220227408737,1.4439008994792488,65.25169638630267
0.2,97.33312292883068,30.795329020041027,26.968597127978537,59.47922761849035,53.55057598232602,68.39987375729841,67.36647825585419,85.34795644626794,97.53826731892063,87.0085746642938,26.968597127978537,59.47922761849035,42.65425280100994,61.912689604143544,28.570301404450056,80.53024026512013,1.8068486665614645,67.0348745463153
