threshold,final_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_rate,after_layer3_accuracy
0.27,64.55549955368042,96.98489749431609,64.28985946655274,99.95539855957031,85.31074714660645
0.28,64.99560070037842,96.13799858093262,64.63734741210938,99.92839837074281,85.3238916015625
0.29,65.39979952573776,95.24680078029633,64.93562927246094,99.87740004062653,85.35044441223144
0.3,65.87400078773499,94.22400116920471,65.31348037719727,99.8249989748001,85.38242111206054
0.31,66.47850203514099,92.99609911441803,65.75293487548828,99.75480145215988,85.41875335693359
0.32,66.99960255622864,91.75360131263731,66.15350921630859,99.67560195922852,85.45682708740235
0.33,67.46489906311035,90.38180017471312,66.55770767211914,99.58300238847733,85.49974281311034
0.34,68.00939893722534,88.96939790248871,67.0397314453125,99.47080147266388,85.54310516357423
0.35000000000000003,68.59999865293503,87.46299743652344,67.5322639465332,99.34549838304518,85.59775772094727
0.36,69.12360048294067,86.01399755477905,68.05985382080078,99.23599791526794,85.66812316894531
0.37,69.68430179357529,84.57129955291748,68.67124160766602,99.0928993821144,85.7564340209961
0.38,70.30060005187988,83.12720036506653,69.2142301940918,98.88120114803314,85.86492431640625
0.39,70.85109972953796,81.73210126161575,69.6733405303955,98.6435993909836,85.98142028808594
0.4,71.5179991722107,80.17600178718567,70.30921478271485,98.38199853897095,86.10730438232422
0.41000000000000003,72.15449959039688,78.52650189399719,70.9309952545166,98.12840014696121,86.23086433410644
0.42,72.81499993801117,76.73640048503876,71.55913253784179,97.85599970817567,86.34430130004883
0.43,73.48340052366257,74.95530068874359,72.18491676330567,97.59319990873337,86.44798728942871
0.44,74.05799889564514,73.15040111541748,72.74577453613281,97.33320140838623,86.57282409667968
0.45,74.717997610569,71.33099883794785,73.37280693054198,97.07250207662582,86.71465873718262
0.46,75.42719781398773,69.59039914608002,74.1026692199707,96.77640068531036,86.8758837890625
0.47000000000000003,76.12159776687622,67.74590116739273,74.82877471923828,96.34969878196716,87.08798057556152
0.48,76.79799818992615,65.79040122032166,75.5245294189453,95.84479761123657,87.35159942626953
0.49,77.51799929141998,63.830200493335724,76.34405227661132,95.37049847841261,87.60944488525391
0.5,78.20500135421753,62.014999985694885,77.0900650024414,94.82499957084656,87.91523361206055
0.51,78.76460272073746,60.34680050611497,77.64624908447266,94.25990033149719,88.22138496398925
0.52,79.33760070800781,58.616399288177504,78.32716979980468,93.76520085334778,88.43435150146485
0.53,79.89499819278717,56.922699272632606,79.02853698730469,93.21330028772354,88.64104667663574
0.54,80.36699938774109,55.279600381851196,79.7059017944336,92.650799036026,88.83637466430665
0.55,80.80800175666809,53.64249855279923,80.40969009399414,92.11799860000609,89.03671722412109
0.56,81.24800133705139,52.12999868392945,80.96748992919922,91.55479955673218,89.2876983642578
0.5700000000000001,81.66769939661026,50.692300260066986,81.49569053649903,91.0236006975174,89.53246444702148
0.58,82.0705988407135,49.27000063657761,82.13947723388671,90.48120081424715,89.77756805419922
0.59,82.47580015659332,47.83009925484658,82.83720207214355,89.8926985859871,90.05199226379395
0.6,82.82400131225586,46.457998752594,83.41731414794921,89.35199975967407,90.30832977294922
0.61,83.13870042562485,45.03329998254777,83.98765747070313,88.8033007979393,90.5271371459961
0.62,83.41980075836182,43.56420087814332,84.48530090332031,88.27100098133087,90.74608596801757
0.63,83.65730035305023,42.17940011620522,84.91715034484864,87.72280073165894,90.95064193725585
0.64,83.9156002998352,40.85280072689057,85.3511782836914,87.11440062522888,91.15827941894533
0.65,84.15149986743927,39.557000398635864,85.89075469970703,86.43949866294861,91.38216934204102
0.66,84.38759994506836,38.24519884586334,86.39421661376953,85.82260048389435,91.581551361084
0.67,84.5393995642662,37.0505992770195,86.76581153869628,85.25830125808716,91.78512756347655
0.68,84.72719931602478,35.81840002536774,87.13960632324219,84.74440240859985,92.0040414428711
0.6900000000000001,84.92889922857285,34.48940020799637,87.57205192565918,84.19500195980072,92.19269821166992
0.7000000000000001,85.1230001449585,33.212000131607056,88.06870880126954,83.68500173091888,92.34058837890625
0.71,85.32219952344894,31.89170008897783,88.51221664428711,83.13180017471315,92.5348143005371
0.72,85.5032000541687,30.634398818016063,88.88116149902343,82.5548005104065,92.74305389404297
0.73,85.66430050134659,29.35819974541665,89.27477897644043,81.9329024553299,92.92849212646485
0.74,85.78459811210632,28.00560045242311,89.72435394287109,81.23620021343231,93.09753036499023
0.75,85.98499745130539,26.602499932050712,90.2485179901123,80.53749799728394,93.35469818115234
0.76,86.15359878540039,25.25399959087373,90.58055664062499,79.69359850883484,93.63287841796875
0.77,86.303701877594,23.909399747848514,90.98089729309082,79.06209951639175,93.83461944580078
0.78,86.46539855003357,22.73899993300438,91.58178588867186,78.35700249671936,94.07667114257814
0.79,86.53889894485474,21.686900138854984,91.97456771850585,77.66940212249756,94.29381546020508
0.8,86.63600087165833,20.57000041007996,92.58523712158204,76.84800148010254,94.46991424560547
0.81,86.7380987405777,19.36869981884957,92.90139938354493,76.127998650074,94.68779235839845
0.8200000000000001,86.72999739646912,18.14560043811798,92.93312103271484,75.33600187301636,94.91840225219727
0.8300000000000001,86.74189734458923,17.050900116562847,93.36127304077148,74.537200152874,95.03713745117187
0.84,86.815997838974,15.82520002126695,93.84863800048828,73.6943988800049,95.23097351074217
0.85,86.91200107336044,14.572999477386482,94.42977104187011,72.7905023097992,95.46262893676757
0.86,86.9813973903656,13.44820025563241,95.13377899169922,71.87820267677309,95.66277816772461
0.87,86.99259924888611,12.566100366413599,95.184633102417,71.0013011097908,95.91511291503906
0.88,87.01000213623047,11.535600066185008,95.63102020263673,69.99959850311281,96.08795532226563
0.89,87.01000213623047,10.413599759340293,95.68226547241211,68.84350073337555,96.38800643920898
0.9,87.00300216674805,9.186999648809444,96.02716217041015,67.67900049686433,96.62556533813476
0.91,86.94540226459503,7.965699695050722,96.09207489013671,66.27139919996262,96.80262031555175
0.92,86.99440050125122,6.705999821424484,96.60242218017578,64.73959970474243,97.0837335205078
0.93,86.93000078201294,5.429500132799154,96.38349670410156,63.11539781093598,97.42195137023926
0.9400000000000001,86.93240082263947,4.291600048542023,96.57971801757812,61.34420037269592,97.63799453735352
0.9500000000000001,86.9675013422966,3.1730001140385906,96.91810989379883,59.40350174903871,97.86698112487792
0.96,86.91679906845093,2.2464000359177585,97.33479766845703,56.87279939651489,98.2058087158203
0.97,86.83699780702591,1.4189999760128524,96.510323638916,53.69340199232099,98.52065811157226
0.98,86.73799908161163,0.7304000002332135,95.87318069458016,49.46899920701995,98.76013351440429
0.99,86.6387003660202,0.25740000070072844,91.38461654663136,42.622900070855614,99.26410896301269
1.0,86.51000261306763,0.0,0.0,0.3400000045076012,100.0
