threshold, final_accuracy, after_layer3_block5_rate, after_layer3_block5_accuracy, after_layer3_block10_rate, after_layer3_block10_accuracy, after_layer3_block15_rate, after_layer3_block15_accuracy, after_layer3_block20_rate, after_layer3_block20_accuracy, after_layer4_rate, after_layer4_accuracy, after_layer3_block5_sequential_rate, after_layer3_block5_sequential_accuracy, after_layer3_block10_sequential_rate, after_layer3_block10_sequential_accuracy, after_layer3_block15_sequential_rate, after_layer3_block15_sequential_accuracy, after_layer3_block20_sequential_rate, after_layer3_block20_sequential_accuracy, after_layer4_sequential_rate, after_layer4_sequential_accuracy, final_rate, overall_accuracy
     0.87,          91.39,                    55.35,            96.04336043360433,                     66.32,             96.54704463208685,                     70.46,             96.96281578200397,                     73.98,             93.10624493106245,             93.05,     96.05588393336916,                               55.35,                       96.04336043360433,                                13.93,                       92.39052404881551 ,                                 6.52,                       92.17791411042944 ,                                 4.1 ,                       89.02439024390245 ,                        15.52,               88.78865979381443 ,       4.58,            91.52
     0.88,          91.39,                    53.93,            96.36565918783609,                     64.78,             96.75825872182773,                     69.33,             97.1585172364056 ,                     72.95,             93.32419465387251,             92.81,     96.11033293826097,                               53.93,                       96.36565918783609,                                13.75,                       92.94545454545455 ,                                 6.77,                       93.0576070901034  ,                                 4.34,                       88.94009216589862 ,                        16.29,               89.01166359729896 ,       4.92,            91.66
     0.89,          91.39,                    52.44,            96.64378337147215,                     63.52,             97.1190176322418 ,                     68.1 ,             97.32745961820852,                     71.76,             93.43645484949833,             92.45,     96.24661979448351,                               52.44,                       96.64378337147215,                                13.82,                       93.9218523878437  ,                                 6.71,                       92.84649776453055 ,                                 4.5 ,                       90.22222222222223 ,                        17.14,               89.38156359393233 ,       5.39,            91.77
     0.9 ,          91.39,                    50.83,            96.98996655518394,                     62.22,             97.29990356798457,                     66.97,             97.43168582947588,                     70.67,             93.47672279609452,             92.15,     96.33206728160607,                               50.83,                       96.98996655518394,                                14.03,                       94.08410548823949 ,                                 6.83,                       92.82576866764275 ,                                 4.59,                       89.760348583878   ,                        18.01,               89.95002776235425 ,       5.71,            91.89
     0.91,          91.39,                    48.88,            97.36088379705402,                     60.75,             97.67901234567901,                     65.37,             97.6594768242313 ,                     69.41,             93.63204149258031,             91.76,     96.45815170008719,                               48.88,                       97.36088379705402,                                14.19,                       95.06694855532065 ,                                 6.94,                       93.0835734870317  ,                                 4.78,                       91.42259414225941 ,                        18.9 ,               90.68783068783068 ,       6.31,            92.09
     0.92,          91.39,                    46.88,            97.6962457337884 ,                     59.2 ,             97.83783783783784,                     63.89,             97.8400375645641 ,                     67.91,             93.74171697835371,             91.35,     96.62835249042146,                               46.88,                       97.6962457337884 ,                                14.6 ,                       95.06849315068493 ,                                 7.02,                       93.87464387464388 ,                                 4.8 ,                       90.83333333333333 ,                        19.93,               91.41996989463121 ,       6.77,            92.16
     0.93,          91.39,                    44.57,            97.86852142696881,                     57.39,             98.04844049485973,                     62.14,             98.13324750563244,                     66.39,             93.77918361198975,             90.87,     96.77561351381094,                               44.57,                       97.86852142696881,                                15.06,                       95.81673306772909 ,                                 7.17,                       94.83960948396094 ,                                 4.78,                       91.00418410041841 ,                        21.16,               91.91871455576559 ,       7.26,            92.26
     0.94,          91.39,                    42.31,            98.1800992673127 ,                     55.11,             98.31246597713664,                     60.11,             98.35301946431542,                     64.69,             93.94033080847117,             90.32,     96.93312666076173,                               42.31,                       98.1800992673127 ,                                15.12,                       96.42857142857143 ,                                 7.32,                       95.08196721311475 ,                                 4.97,                       93.76257545271629 ,                        22.39,               92.45198749441715 ,       7.89,            92.42
     0.95,          91.39,                    40.0 ,            98.425           ,                     52.73,             98.61558884885264,                     57.95,             98.65401207937877,                     62.56,             94.10166240409207,             89.8 ,     97.06013363028953,                               40.0 ,                       98.425           ,                                14.83,                       97.3701955495617  ,                                 7.39,                       96.34641407307171 ,                                 5.1 ,                       94.31372549019608 ,                        24.09,               92.9846409298464  ,       8.59,            92.57
     0.96,          91.39,                    37.03,            98.78476910613017,                     50.13,             98.88290444843408,                     55.46,             98.84601514605122,                     59.98,             94.01467155718574,             88.98,     97.26904922454484,                               37.03,                       98.78476910613017,                                14.91,                       98.05499664654594 ,                                 7.54,                       96.81697612732096 ,                                 5.17,                       94.58413926499033 ,                        25.78,               93.9100077579519  ,       9.57,            92.69
     0.97,          91.39,                    33.46,            99.04363419007771,                     46.61,             99.12036043767432,                     51.88,             98.97841171935235,                     56.83,             93.91166637339434,             88.28,     97.45129134571818,                               33.46,                       99.04363419007771,                                14.92,                       98.5254691689008  ,                                 7.42,                       97.16981132075472 ,                                 5.44,                       95.22058823529412 ,                        28.29,               94.73312124425593 ,      10.47,            92.77
     0.98,          91.39,                    28.48,            99.43820224719101,                     41.74,             99.35313847628174,                     47.06,             99.23501912452188,                     52.65,             93.6372269705603 ,             86.93,     97.83734038881859,                               28.48,                       99.43820224719101,                                14.82,                       98.85290148448043 ,                                 7.2 ,                       97.91666666666667 ,                                 5.76,                       95.3125           ,                        31.56,               96.26108998732573 ,      12.18,            92.79
     0.99,          91.39,                    21.49,            99.62773382968822,                     34.12,             99.58968347010551,                     39.9 ,             99.47368421052632,                     45.53,             93.23522951899847,             84.73,     98.241472913962  ,                               21.49,                       99.62773382968822,                                14.07,                       99.43141435678749 ,                                 7.14,                       98.73949579831933 ,                                 6.07,                       96.04612850082373 ,                        36.66,               97.40861974904529 ,      14.57,            92.77
     1.0 ,          91.39,                     0.04,           100.0             ,                      0.06,            100.0             ,                      0.51,            100.0             ,                      2.59,             13.8996138996139 ,             42.0 ,     99.52380952380952,                                0.04,                      100.0             ,                                 0.04,                      100.0              ,                                 0.44,                      100.0              ,                                 2.15,                       10.232558139534884,                        40.04,               99.97502497502498 ,      57.29,            90.87
