threshold,final_accuracy,after_block3_isolated_accuracy,after_block3_rate,after_block3_accuracy,after_block6_isolated_accuracy,after_block6_rate,after_block6_accuracy,after_block9_isolated_accuracy,after_block9_rate,after_block9_accuracy,after_block3_sequential_rate,after_block3_sequential_accuracy,after_block6_sequential_rate,after_block6_sequential_accuracy,after_block9_sequential_rate,after_block9_sequential_accuracy,final_rate,overall_accuracy
0.64,99.06,68.32,47.86,86.79481821980777,88.98,85.28,94.95778611632271,97.08,96.54,98.42552309923347,47.86,86.79481821980777,40.46,92.88185862580326,10.04,95.0199203187251,1.64,90.14
0.65,99.06,68.32,46.44,87.33850129198966,88.98,84.7,95.15938606847698,97.08,96.28,98.48358953053594,46.44,87.33850129198966,41.24,92.91949563530552,10.54,95.44592030360532,1.78,90.56
0.66,99.06,68.32,45.16,87.59964570416298,88.98,83.98,95.3560371517028,97.08,96.06,98.50093691442848,45.16,87.59964570416298,41.74,93.24389075227599,11.16,95.3405017921147,1.94,90.9
0.67,99.06,68.32,43.98,88.0400181900864,88.98,83.36,95.63339731285988,97.08,95.9,98.54014598540147,43.98,88.0400181900864,42.28,93.80321665089878,11.56,95.50173010380622,2.18,91.36
0.68,99.06,68.32,42.78,88.4525479195886,88.98,82.52,95.85555016965584,97.08,95.6,98.61924686192468,42.78,88.4525479195886,42.68,94.00187441424555,12.04,96.17940199335548,2.5,91.78
0.69,99.06,68.32,41.52,88.72832369942196,88.98,81.9,95.94627594627595,97.08,95.28,98.65659109991604,41.52,88.72832369942196,43.34,94.13936317489618,12.42,96.4573268921095,2.72,92.08
0.7,99.06,68.32,40.3,89.23076923076923,88.98,81.16,96.15574174470183,97.08,94.98,98.75763318593388,40.3,89.23076923076923,43.82,94.47740757644911,12.92,96.90402476780186,2.96,92.56
0.71,99.06,68.32,38.96,89.83572895277207,88.98,80.38,96.3174919134113,97.08,94.76,98.7969607429295,38.96,89.83572895277207,44.28,94.67028003613369,13.62,97.06314243759178,3.14,92.98
0.72,99.06,68.32,37.6,90.2127659574468,88.98,79.56,96.50578179989945,97.08,94.5,98.83597883597884,37.6,90.2127659574468,44.78,94.81911567664136,14.28,97.3389355742297,3.34,93.32
0.73,99.06,68.32,36.4,90.6043956043956,88.98,78.72,96.7479674796748,97.08,94.26,98.96032251220029,36.4,90.6043956043956,45.1,95.29933481152993,14.98,97.32977303070761,3.52,93.74
0.74,99.06,68.32,34.86,91.2794033275961,88.98,77.78,96.83723322190795,97.08,94.04,99.00042535091451,34.86,91.2794033275961,45.5,95.34065934065934,15.78,97.71863117870723,3.86,94.12
