bandwidth_d2e_mbps,strategy,latency_ms,accuracy_pct,b1,b2,tau,feasible
116.0,Cloud-full,278.4413817964325,86.51,0,0,no_exit,True
116.0,Split-only,153.1285481643433,86.51,0,19,no_exit,True
116.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
116.0,Decoupled,124.2447119200035,86.15,0,19,0.76,True
116.0,Joint,122.87743566698015,86.15,19,19,0.76,True
118.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
118.0,Cloud-full,277.7179861213887,86.51,0,0,no_exit,True
118.0,Split-only,152.40515248929944,86.51,0,19,no_exit,True
118.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
118.0,Decoupled,123.52131624495966,86.15,0,19,0.76,True
118.0,Joint,122.87743566698015,86.15,19,19,0.76,True
120.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
120.0,Cloud-full,277.01870363551296,86.51,0,0,no_exit,True
120.0,Split-only,151.70587000342374,86.51,0,19,no_exit,True
120.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
120.0,Decoupled,122.82203375908396,86.15,0,19,0.76,True
120.0,Joint,122.82203375908396,86.15,0,19,0.76,True
122.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
122.0,Cloud-full,276.3423484442562,86.51,0,0,no_exit,True
122.0,Split-only,151.02951481216692,86.51,0,19,no_exit,True
122.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
122.0,Decoupled,122.14567856782713,86.15,0,19,0.76,True
122.0,Joint,122.14567856782713,86.15,0,19,0.76,True
125.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
125.0,Cloud-full,275.3683969688463,86.51,0,0,no_exit,True
125.0,Split-only,150.05556333675707,86.51,0,19,no_exit,True
125.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
125.0,Decoupled,121.1717270924173,86.15,0,19,0.76,True
125.0,Joint,121.1717270924173,86.15,0,19,0.76,True
130.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
130.0,Cloud-full,273.84503696884633,86.51,0,0,no_exit,True
130.0,Split-only,148.53220333675708,86.51,0,19,no_exit,True
130.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
130.0,Decoupled,119.6483670924173,86.15,0,19,0.76,True
130.0,Joint,119.6483670924173,86.15,0,19,0.76,True
140.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
140.0,Cloud-full,271.1247512545606,86.51,0,0,no_exit,True
140.0,Split-only,145.81191762247136,86.51,0,19,no_exit,True
140.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
140.0,Decoupled,116.92808137813157,86.15,0,19,0.76,True
140.0,Joint,116.92808137813157,86.15,0,19,0.76,True
150.0,Local-full,166.238551835218,86.51,19,19,no_exit,True
150.0,Cloud-full,268.7671703021797,86.51,0,0,no_exit,True
150.0,Split-only,143.4543366700904,86.51,0,19,no_exit,True
150.0,EE-only,122.87743566698015,86.15,19,19,0.76,True
150.0,Decoupled,114.57050042575062,86.15,0,19,0.76,True
150.0,Joint,114.57050042575062,86.15,0,19,0.76,True
