stage,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc
after_layer3_block5,29,0.7126370122146607,75.598,0.6232755601882934,78.85,80.18
after_layer3_block5,30,0.7092222429656982,75.566,0.6266217622756958,78.61,80.18
after_layer3_block5,31,0.7014358227157593,75.676,0.5957259603023529,79.78,80.18
after_layer3_block5,32,0.709748812084198,75.538,0.5785033692836762,80.77,80.77
after_layer3_block5,33,0.699803050365448,75.886,0.5746041295051575,80.56,80.77
after_layer3_block5,34,0.698108023967743,75.932,0.6171814605236053,78.93,80.77
after_layer3_block5,35,0.6984764831542969,76.038,0.6229488840103149,78.81,80.77
after_layer3_block5,36,0.6967757928848266,75.96,0.5894612328052521,79.98,80.77
after_layer3_block5,37,0.6998871835708618,75.846,0.6260737751960754,78.86,80.77
after_layer3_block5,38,0.693468313293457,76.07,0.5623946521282196,81.02,81.02
after_layer3_block5,39,0.695265575504303,76.046,0.6573928437709808,78.17,81.02
after_layer3_block5,40,0.693595793094635,76.07,0.5766768520355224,80.46,81.02
after_layer3_block5,41,0.6904067873191834,76.202,0.5659730475902557,80.85,81.02
after_layer3_block5,42,0.6882677425765992,76.284,0.5917196496009827,79.85,81.02
after_layer3_block5,43,0.6880427219963073,76.338,0.5558507835388183,81.45,81.45
after_layer3_block5,44,0.6931473603057862,76.176,0.555862861251831,81.13,81.45
after_layer3_block5,45,0.6839310984992981,76.3,0.5569786365032197,81.2,81.45
after_layer3_block5,46,0.6904648268508912,75.96,0.6133178264141083,79.25,81.45
after_layer3_block5,47,0.6884579953765869,76.332,0.5811192485332489,80.51,81.45
after_layer3_block5,48,0.6916634452438355,76.292,0.5568258047103882,81.14,81.45
after_layer3_block5,49,0.684749234085083,76.402,0.5951718241691589,80.03,81.45
after_layer3_block5,50,0.6815540461921692,76.504,0.5909494426727295,80.26,81.45
after_layer3_block10,1,1.0475494449234009,64.924,0.777449465084076,74.57,74.57
after_layer3_block10,2,0.7971635192489624,73.152,0.7229990858078003,74.75,74.75
after_layer3_block10,3,0.7335856602478027,74.96,0.6567897447109222,77.82,77.82
after_layer3_block10,4,0.6977802085113526,76.36,0.5745289207458496,80.86,80.86
after_layer3_block10,5,0.674373405456543,77.042,0.5934873590469361,80.26,80.86
after_layer3_block10,6,0.6613467513465882,77.292,0.5544974722862244,81.77,81.77
after_layer3_block10,7,0.6487750152587891,77.712,0.5504954543113708,81.91,81.91
after_layer3_block10,8,0.6392310307121277,78.18,0.5850628319740295,80.69,81.91
after_layer3_block10,9,0.6245250006103515,78.654,0.5635688052177429,80.85,81.91
after_layer3_block10,10,0.6201585770606994,78.938,0.5213474586486816,82.75,82.75
after_layer3_block10,11,0.6126034626960755,79.06,0.5274632413864135,82.44,82.75
after_layer3_block10,12,0.6111908248329163,79.256,0.5381360348701477,81.89,82.75
after_layer3_block10,13,0.5994678560543061,79.42,0.5226920746326447,82.47,82.75
after_layer3_block10,14,0.5957487106513977,79.612,0.4967456409931183,83.52,83.52
after_layer3_block10,15,0.591269489812851,79.912,0.5035493873119354,83.12,83.52
after_layer3_block10,16,0.5869627410888671,79.75,0.4822058324337006,84.13,84.13
after_layer3_block10,17,0.59273236120224,79.764,0.5077534430980682,83.05,84.13
after_layer3_block10,18,0.5904040764713288,79.88,0.503793661737442,82.9,84.13
after_layer3_block10,19,0.582185658378601,80.108,0.5162609561920166,83.07,84.13
after_layer3_block10,20,0.5757695115280151,80.346,0.5031700128078461,83.06,84.13
after_layer3_block10,21,0.572734825668335,80.56,0.6018744781494141,80.22,84.13
after_layer3_block10,22,0.58277680519104,80.214,0.47298805994987486,84.03,84.13
after_layer3_block10,23,0.5743004683494568,80.464,0.5210336027622223,82.56,84.13
after_layer3_block10,24,0.5755600131225586,80.37,0.5022679542064666,83.49,84.13
after_layer3_block10,25,0.5666233702468872,80.802,0.49571418075561524,83.29,84.13
after_layer3_block10,26,0.5715662074851989,80.64,0.5079787508487701,83.17,84.13
after_layer3_block10,27,0.5618201631736756,80.742,0.490978155040741,83.58,84.13
