experiment_id,run_id,seed,state_id,training_mode,epoch,wall_clock_s,outer_objective,paper_utility_sum,expected_accuracy_sum,expected_accuracy_mean,expected_latency_sum_s,expected_latency_mean_s,split_entropy_HX,exit_entropy_HY,relative_objective_change,objective_cv,best_epoch,is_current_best,converged,stopping_reason,utility_consistent,source_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,20,66.26644630008377,2.943679530179212,2.943679530179212,3.771720166760179,0.9429300416900448,0.8280406365809674,0.20701015914524185,4.448070567448934,-0.8100628596146902,,,18,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,21,71.84571950009558,2.834328739514146,2.834328739514146,3.7543490818720002,0.9385872704680001,0.9200203423578541,0.23000508558946353,4.3525901816685995,-0.9074905231793722,,,18,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,22,76.58393429999705,2.9944582595749867,2.9944582595749867,3.7914031108239747,0.9478507777059937,0.7969448512489882,0.19923621281224704,4.2552022399902345,-1.0472960907618205,,,22,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,23,82.03670410008635,2.955338748438636,2.955338748438636,3.859893458507238,0.9649733646268095,0.9045547100686018,0.22613867751715044,4.163296457608541,-1.196221645116806,,,22,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,24,87.17948640009854,3.044442088493035,3.044442088493035,3.874451992152,0.968612998038,0.8300099036589649,0.20750247591474122,4.06984677696228,-1.364298603216807,,,24,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,25,93.18408480007201,3.0606528339223757,3.0606528339223757,3.8227817284241934,0.9556954321060483,0.7621288945018176,0.1905322236254544,3.974362370332082,-1.4127746371428171,,,25,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,26,97.41492190002464,3.1023726370203453,3.1023726370203453,3.8392983306588704,0.9598245826647176,0.736925693638525,0.18423142340963125,3.8717003389994304,-1.4929439091682435,,,26,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,27,100.89820220007095,3.0836595472379913,3.0836595472379913,3.8438391487147436,0.9609597871786859,0.7601796014767523,0.19004490036918809,3.777989502112071,-1.6392535522778828,,,26,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,28,105.04751420009416,3.042052466269636,3.042052466269636,3.8746428767665444,0.9686607191916361,0.832590410496908,0.208147602624227,3.6796846520105997,-1.8005652991135914,,,26,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,29,111.19264280004427,3.115087566613335,3.115087566613335,3.8540478974525847,0.9635119743631462,0.73896033083925,0.1847400827098125,3.573201412677765,-1.8975092550913493,,,29,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
