threshold,final_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.76,86.51,25.32,90.52132701421802,79.63,93.67072711289715,25.32,90.52132701421802,55.82,92.17126477964887,18.86,86.15
0.77,86.51,23.88,91.03852596314908,79.09,93.81717031230244,23.88,91.03852596314908,56.58,92.40014139271827,19.54,86.28
0.78,86.51,22.7,91.49779735682819,78.39,94.09363439214185,22.7,91.49779735682819,56.98,92.85714285714286,20.32,86.5
0.79,86.51,21.73,91.90059825126554,77.67,94.28350714561607,21.73,91.90059825126554,57.22,93.11429570080392,21.05,86.54
0.8,86.51,20.62,92.62851600387972,76.84,94.49505465903175,20.62,92.62851600387972,57.39,93.4483359470291,21.99,86.66
0.81,86.51,19.39,92.83135636926251,76.1,94.70433639947437,19.39,92.83135636926251,57.83,93.7402732145945,22.78,86.76
0.82,86.51,18.18,93.01430143014302,75.31,94.92763245252955,18.18,93.01430143014302,58.14,94.04884760921912,23.68,86.72
0.83,86.51,17.1,93.33333333333333,74.54,95.04963777837403,17.1,93.33333333333333,58.42,94.28277986990757,24.48,86.74
0.84,86.51,15.85,94.00630914826499,73.72,95.19804666304938,15.85,94.00630914826499,58.74,94.50119169220292,25.41,86.83
0.85,86.51,14.59,94.31117203564085,72.8,95.43956043956044,14.59,94.31117203564085,58.98,94.82875551034249,26.43,86.9
0.86,86.51,13.38,95.06726457399103,71.88,95.6316082359488,13.38,95.06726457399103,59.16,95.01352265043948,27.46,86.96
0.87,86.51,12.53,95.13168395849961,71.02,95.94480428048438,12.53,95.13168395849961,59.09,95.43069893382975,28.38,87.01
0.88,86.51,11.58,95.68221070811744,70.05,96.11705924339758,11.58,95.68221070811744,59.01,95.62785968479919,29.41,87.03
0.89,86.51,10.42,95.68138195777351,68.81,96.38133992152304,10.42,95.68138195777351,58.87,95.97418039748598,30.71,87.01
0.9,86.51,9.15,95.95628415300547,67.65,96.6740576496674,9.15,95.95628415300547,58.98,96.33774160732452,31.87,87.02
0.91,86.51,7.98,96.11528822055138,66.3,96.8024132730015,7.98,96.11528822055138,58.7,96.54173764906304,33.32,86.94
0.92,86.51,6.74,96.58753709198812,64.72,97.04882571075402,6.74,96.58753709198812,58.32,96.84499314128944,34.94,86.98
0.93,86.51,5.46,96.33699633699634,63.12,97.43346007604563,5.46,96.33699633699634,57.89,97.30523406460529,36.65,86.93
0.94,86.51,4.3,96.51162790697674,61.37,97.63728205963827,4.3,96.51162790697674,57.26,97.5200838281523,38.44,86.92
0.95,86.51,3.15,96.82539682539682,59.41,97.89597710823094,3.15,96.82539682539682,56.42,97.7844735909252,40.43,86.96
0.96,86.51,2.25,97.33333333333333,56.85,98.20580474934037,2.25,97.33333333333333,54.7,98.13528336380256,43.05,86.92
0.97,86.51,1.4,97.14285714285714,53.74,98.5299590621511,1.4,97.14285714285714,52.43,98.49322906732786,46.17,86.84
0.98,86.51,0.72,95.83333333333333,49.48,98.74696847210994,0.72,95.83333333333333,48.81,98.7297684900635,50.47,86.73
0.99,86.51,0.26,92.3076923076923,42.95,99.25494761350407,0.26,92.3076923076923,42.71,99.25076094591431,57.03,86.64
1.0,86.51,0.0,0.0,0.34,100.0,0.0,0.0,0.34,100.0,99.66,86.51
