algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
DSCI,99,1000,-4.257406092716634,1.4282703382087143,10,episode_mean,-5.685676430925348,-2.8291357545079197
DSCI,100,1010,-3.788313124484526,2.601364651727991,10,episode_mean,-6.389677776212517,-1.186948472756535
DSCI,101,1020,-3.718615334917277,1.9130994343074035,10,episode_mean,-5.63171476922468,-1.8055159006098733
DSCI,102,1030,-3.4881539141215385,1.0316051037155685,10,episode_mean,-4.5197590178371065,-2.45654881040597
DSCI,103,1040,-2.606078845046472,1.301466089289163,10,episode_mean,-3.907544934335635,-1.304612755757309
DSCI,104,1050,-3.04462226533209,1.6712370161776193,10,episode_mean,-4.71585928150971,-1.3733852491544707
DSCI,105,1060,-3.2729777288231636,1.8915622667273844,10,episode_mean,-5.164539995550548,-1.3814154620957793
DSCI,106,1070,-2.656726149030855,1.163117234562593,10,episode_mean,-3.819843383593448,-1.493608914468262
DSCI,107,1080,-3.657582739970658,1.9190855381113072,10,episode_mean,-5.576668278081965,-1.738497201859351
DSCI,108,1090,-3.7081277640137373,2.0774583852466284,10,episode_mean,-5.785586149260366,-1.630669378767109
DSCI,109,1100,-2.739305274008968,1.1575572256580353,10,episode_mean,-3.8968624996670034,-1.5817480483509325
DSCI,110,1110,-2.6890164719824288,2.0613257049679827,10,episode_mean,-4.7503421769504115,-0.627690767014446
DSCI,111,1120,-3.1744743929804846,1.6958357112239582,10,episode_mean,-4.870310104204442,-1.4786386817565265
DSCI,112,1130,-3.1457617172765597,1.7164335905567565,10,episode_mean,-4.862195307833316,-1.4293281267198032
DSCI,113,1140,-3.476093727759371,1.6517792249903613,10,episode_mean,-5.127872952749732,-1.8243145027690097
DSCI,114,1150,-2.687406039682316,1.363300381980785,10,episode_mean,-4.050706421663101,-1.3241056577015309
DSCI,115,1160,-2.6659684677337987,1.310656905387899,10,episode_mean,-3.9766253731216974,-1.3553115623458998
DSCI,116,1170,-3.5077890124235234,1.2876662799081853,10,episode_mean,-4.795455292331709,-2.220122732515338
DSCI,117,1180,-2.0684082578462037,1.500103070848954,10,episode_mean,-3.5685113286951577,-0.5683051869972497
DSCI,118,1190,-3.898950156147484,1.6368623920512084,10,episode_mean,-5.535812548198693,-2.2620877640962753
DSCI,119,1200,-2.174820085444875,1.6422772741840421,10,episode_mean,-3.8170973596289173,-0.532542811260833
DSCI,120,1210,-2.5583472552509847,1.5737860506484889,10,episode_mean,-4.132133305899473,-0.9845612046024959
DSCI,121,1220,-2.7793384121702007,0.9940802194101356,10,episode_mean,-3.7734186315803364,-1.785258192760065
DSCI,122,1230,-2.943829791640005,0.8796844199657596,10,episode_mean,-3.8235142116057648,-2.0641453716742455
DSCI,123,1240,-2.758170864716605,1.4320635562583939,10,episode_mean,-4.190234420974999,-1.3261073084582113
DSCI,124,1250,-2.153136567718385,1.6741429721053704,10,episode_mean,-3.8272795398237553,-0.4789935956130147
DSCI,125,1260,-2.9745898667628445,1.38285077932702,10,episode_mean,-4.357440646089865,-1.5917390874358246
DSCI,126,1270,-2.490469758294952,1.3471718826963144,10,episode_mean,-3.837641640991267,-1.1432978755986378
DSCI,127,1280,-3.155177154170923,1.6714392198314185,10,episode_mean,-4.826616374002342,-1.4837379343395043
DSCI,128,1290,-2.3102592790969565,1.4119781512713951,10,episode_mean,-3.7222374303683514,-0.8982811278255614
DSCI,129,1300,-1.676099420414388,0.849072830494718,10,episode_mean,-2.525172250909106,-0.8270265899196699
DSCI,130,1310,-2.163955320590853,1.8631977076638853,10,episode_mean,-4.027153028254738,-0.3007576129269678
DSCI,131,1320,-2.456806947985707,1.0054670701314647,10,episode_mean,-3.4622740181171716,-1.4513398778542423
DSCI,132,1330,-2.7630709600792764,1.746569408441118,10,episode_mean,-4.509640368520395,-1.0165015516381584
DSCI,133,1340,-3.0328275336786854,1.3461932190667483,10,episode_mean,-4.379020752745434,-1.6866343146119371
DSCI,134,1350,-2.1975953371881216,1.4285723286453453,10,episode_mean,-3.626167665833467,-0.7690230085427763
DSCI,135,1360,-1.84678183979718,1.8784456972416912,10,episode_mean,-3.7252275370388714,0.03166385744451117
DSCI,136,1370,-2.151148785100893,1.5915807308076781,10,episode_mean,-3.7427295159085707,-0.5595680542932147
DSCI,137,1380,-2.485228893407539,2.27037833965651,10,episode_mean,-4.755607233064049,-0.2148505537510288
DSCI,138,1390,-2.337669942538872,1.8823968171013723,10,episode_mean,-4.220066759640244,-0.45527312543749954
