epoch,stage,train_loss,train_acc,val_loss,val_acc
44,Stage‑1,0.0369793724485548,98.71333333333334,0.659291489217784,86.86
45,Stage‑1,0.02049493847599396,99.36666666666666,0.656219338245183,87.18
46,Stage‑1,0.028746611919235544,99.01333333333334,0.689955318087264,86.08
47,Stage‑1,0.027807657835579844,99.03333333333333,0.6260698243409772,87.38
48,Stage‑1,0.02715466574467097,99.06666666666666,0.5989576768648776,87.98
49,Stage‑1,0.02800424454661962,99.02444444444444,0.6662489958637972,86.68
50,Stage‑1,0.0234321808808266,99.22222222222223,0.6251841408165195,87.56
51,Stage‑2,1.6764378606934438,41.782222222222224,1.4892032402980178,47.32
52,Stage‑2,1.448768760162321,49.98444444444444,1.4017363394363016,50.6
53,Stage‑2,1.3847660683095455,52.25111111111111,1.371508838255194,50.94
54,Stage‑2,1.3445029616017232,53.79333333333334,1.3027632734443568,55.02
55,Stage‑2,1.3079989185048775,54.98222222222222,1.2946081033235863,54.72
56,Stage‑2,1.2845509311353618,56.08,1.310669261443464,54.1
57,Stage‑2,1.26157683997669,56.595555555555556,1.2498983303202857,56.76
58,Stage‑2,1.2499738695438614,57.06444444444445,1.240577761885486,56.92
59,Stage‑2,1.232563776302744,57.846666666666664,1.2346141194995446,56.36
60,Stage‑2,1.221196676265787,58.455555555555556,1.1902937285507782,58.82
61,Stage‑2,1.2077271850271658,58.84888888888889,1.1879665572432023,59.46
62,Stage‑2,1.197608448903669,59.24,1.1888504971431781,59.22
63,Stage‑2,1.1884656542573462,59.022222222222226,1.1629645152937007,59.98
64,Stage‑2,1.1765682810748166,59.717777777777776,1.1740244370472581,59.36
65,Stage‑2,1.1725086142224344,59.89555555555555,1.165575016902972,58.88
66,Stage‑2,1.167151220227507,60.08888888888889,1.1556853350204757,60.48
67,Stage‑2,1.156882143156095,60.72,1.1604643924326836,59.98
68,Stage‑2,1.149447805502198,60.94,1.1542473639113993,60.12
69,Stage‑2,1.143535987812687,61.0,1.1709455213969266,58.88
70,Stage‑2,1.1354788604446433,61.13333333333333,1.152463661718972,60.42
71,Stage‑2,1.1277431610294364,61.65111111111111,1.1212675971320913,61.72
72,Stage‑2,1.1265089093622835,61.47555555555556,1.1177565379987788,61.14
73,Stage‑2,1.1230021386661313,61.824444444444445,1.1171990595286405,61.32
74,Stage‑2,1.1206332869319753,61.742222222222225,1.1046960368941101,62.16
75,Stage‑2,1.111171564002606,62.23111111111111,1.0970875439764578,61.96
76,Stage‑2,1.1121345702558756,62.028888888888886,1.096316855919512,62.18
77,Stage‑2,1.1060763594948433,62.30888888888889,1.0972463322591177,61.68
78,Stage‑2,1.099023401483216,62.53333333333333,1.1310679361790041,60.48
79,Stage‑2,1.099928810515187,62.54666666666667,1.0894803570795664,61.98
80,Stage‑2,1.094822871414098,62.69777777777778,1.0790839617765402,63.36
81,Stage‑2,1.0930838929489255,62.675555555555555,1.081043372425852,61.98
82,Stage‑2,1.0871077742935582,62.72666666666667,1.096843187567554,61.4
83,Stage‑2,1.0866143273358995,62.88666666666666,1.0895532354523865,62.1
